model,seed,concept,layer,train_context,train_lang,test_context,test_lang,control,acc
bigscience/bloom-1b7,0,side,22,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,0,side,22,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,22,informative,bn,informative,bn,shuffled,0.5
bigscience/bloom-1b7,0,side,23,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,0,side,23,informative,bn,informative,hi,none,0.5
bigscience/bloom-1b7,0,side,23,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,0,side,23,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,0,side,23,informative,bn,neutral,hi,none,0.6666666666666666
bigscience/bloom-1b7,0,side,23,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,23,informative,bn,informative,bn,shuffled,0.4166666666666667
bigscience/bloom-1b7,0,side,0,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,0,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,0,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,0,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,0,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,0,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,0,informative,hi,informative,hi,shuffled,0.4166666666666667
bigscience/bloom-1b7,0,side,1,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,1,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,1,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,1,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,1,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,1,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,1,informative,hi,informative,hi,shuffled,0.4166666666666667
bigscience/bloom-1b7,0,side,2,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,2,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,2,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,2,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,2,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,2,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,2,informative,hi,informative,hi,shuffled,0.3333333333333333
bigscience/bloom-1b7,0,side,3,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,3,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,3,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,3,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,3,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,3,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,3,informative,hi,informative,hi,shuffled,0.3666666666666666
bigscience/bloom-1b7,0,side,4,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,4,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,4,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,4,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,4,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,4,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,4,informative,hi,informative,hi,shuffled,0.45
bigscience/bloom-1b7,0,side,5,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,5,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,5,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,5,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,5,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,5,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,5,informative,hi,informative,hi,shuffled,0.5
bigscience/bloom-1b7,0,side,6,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,6,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,6,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,6,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,6,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,6,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,6,informative,hi,informative,hi,shuffled,0.325
bigscience/bloom-1b7,0,side,7,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,7,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,7,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,7,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,7,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,7,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,7,informative,hi,informative,hi,shuffled,0.5
bigscience/bloom-1b7,0,side,8,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,8,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,8,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,8,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,8,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,8,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,8,informative,hi,informative,hi,shuffled,0.5
bigscience/bloom-1b7,0,side,9,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,9,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,9,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,9,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,9,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,9,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,9,informative,hi,informative,hi,shuffled,0.2583333333333333
bigscience/bloom-1b7,0,side,10,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,10,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,10,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,10,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,10,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,10,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,10,informative,hi,informative,hi,shuffled,0.25
bigscience/bloom-1b7,0,side,11,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,11,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,11,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,11,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,11,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,11,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,11,informative,hi,informative,hi,shuffled,0.25
bigscience/bloom-1b7,0,side,12,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,0,side,12,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,0,side,12,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,0,side,12,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,0,side,12,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,0,side,12,informative,hi,neutral,en,none,0.5
