model,seed,concept,layer,rank,direction,context,eval_lang,acc,logit_diff,n
bigscience/bloom-560m,0,side,0,1,hi,informative,bn,0.65,0.3179551323254903,120
bigscience/bloom-560m,0,side,0,1,hi,informative,en,0.5083333333333333,0.0780632019042968,120
bigscience/bloom-560m,0,side,0,1,hi,informative,hi,0.6166666666666667,0.3192702223857244,120
bigscience/bloom-560m,0,side,0,1,hi,neutral,bn,0.4416666666666666,-0.1755505541960398,120
bigscience/bloom-560m,0,side,0,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,0,1,hi,neutral,hi,0.475,-0.033106987675031,120
bigscience/bloom-560m,0,side,2,1,hi,informative,bn,0.6583333333333333,0.3104354719320933,120
bigscience/bloom-560m,0,side,2,1,hi,informative,en,0.5,0.0814783732096354,120
bigscience/bloom-560m,0,side,2,1,hi,informative,hi,0.6416666666666667,0.3849926749865214,120
bigscience/bloom-560m,0,side,2,1,hi,neutral,bn,0.4416666666666666,-0.1885764360427856,120
bigscience/bloom-560m,0,side,2,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,2,1,hi,neutral,hi,0.4916666666666666,-0.0060410648584365,120
bigscience/bloom-560m,0,side,4,1,hi,informative,bn,0.6583333333333333,0.3164982577164968,120
bigscience/bloom-560m,0,side,4,1,hi,informative,en,0.5083333333333333,0.0809460957845052,120
bigscience/bloom-560m,0,side,4,1,hi,informative,hi,0.5833333333333334,0.2080458372831344,120
bigscience/bloom-560m,0,side,4,1,hi,neutral,bn,0.425,-0.1875101228555043,120
bigscience/bloom-560m,0,side,4,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,4,1,hi,neutral,hi,0.4333333333333333,-0.1481335957845052,120
bigscience/bloom-560m,0,side,6,1,hi,informative,bn,0.6666666666666666,0.3005799889564514,120
bigscience/bloom-560m,0,side,6,1,hi,informative,en,0.5083333333333333,0.0853909810384114,120
bigscience/bloom-560m,0,side,6,1,hi,informative,hi,0.6166666666666667,0.3505817164977391,120
bigscience/bloom-560m,0,side,6,1,hi,neutral,bn,0.4333333333333333,-0.18488290309906,120
bigscience/bloom-560m,0,side,6,1,hi,neutral,en,0.5,0.0,120
