model,seed,concept,layer,rank,direction,context,eval_lang,acc,logit_diff,n
bigscience/bloom-560m,0,side,6,1,hi,neutral,hi,0.49166666666666664,-0.0019217987855275473,120
bigscience/bloom-560m,0,side,8,1,hi,informative,bn,0.6833333333333333,0.33198832869529726,120
bigscience/bloom-560m,0,side,8,1,hi,informative,en,0.5083333333333333,0.09114659627278646,120
bigscience/bloom-560m,0,side,8,1,hi,informative,hi,0.6416666666666667,0.48527060747146605,120
bigscience/bloom-560m,0,side,8,1,hi,neutral,bn,0.44166666666666665,-0.1535639504591624,120
bigscience/bloom-560m,0,side,8,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,8,1,hi,neutral,hi,0.525,0.055326256155967715,120
bigscience/bloom-560m,0,side,10,1,hi,informative,bn,0.675,0.3102150460084279,120
bigscience/bloom-560m,0,side,10,1,hi,informative,en,0.5083333333333333,0.08103103637695312,120
bigscience/bloom-560m,0,side,10,1,hi,informative,hi,0.6166666666666667,0.39373600780963897,120
bigscience/bloom-560m,0,side,10,1,hi,neutral,bn,0.43333333333333335,-0.1642952561378479,120
bigscience/bloom-560m,0,side,10,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,10,1,hi,neutral,hi,0.49166666666666664,0.0025190909703572593,120
bigscience/bloom-560m,0,side,12,1,hi,informative,bn,0.6916666666666667,0.3235677460829417,120
bigscience/bloom-560m,0,side,12,1,hi,informative,en,0.5083333333333333,0.08178227742513021,120
bigscience/bloom-560m,0,side,12,1,hi,informative,hi,0.6166666666666667,0.43395514686902364,120
bigscience/bloom-560m,0,side,12,1,hi,neutral,bn,0.44166666666666665,-0.16399382948875427,120
bigscience/bloom-560m,0,side,12,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,12,1,hi,neutral,hi,0.49166666666666664,0.02410192588965098,120
bigscience/bloom-560m,0,side,12,4,hi,informative,bn,0.65,0.29497838020324707,120
bigscience/bloom-560m,0,side,12,4,hi,informative,en,0.5,0.08436381022135417,120
bigscience/bloom-560m,0,side,12,4,hi,informative,hi,0.5833333333333334,0.2811463803052902,120
